Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Stnd Description,Underhood ID,Veh Class,Smog Rating,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
SUBARU Impreza Wagon,2,4,Man-5,4WD,Gasoline,CA,PZEV,California PZEV,GFJXJ02.5NKR,station wagon,9,25,34,28,7,Yes
SUBARU Impreza Wagon,2,4,SCV-6,4WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,GFJXJ02.5NKR,station wagon,6,28,37,31,7,Yes
SUBARU Impreza Wagon,2,4,SCV-6,4WD,Gasoline,CA,PZEV,California PZEV,GFJXJ02.5NKR,station wagon,9,28,37,31,7,Yes
SUBARU Legacy,2.5,4,SCV-6,4WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,GFJXJ02.5HRV,midsize car,6,26,36,30,7,Yes
SUBARU Outback,2.5,4,SCV-6,4WD,Gasoline,FA,B4,Federal Tier 2 Bin 4,GFJXJ02.5HRV,small SUV,6,25,33,28,7,Yes
TESLA Model X AWD,N/A,N/A,Auto-1,4WD,Electricity,FA,B1,Federal Tier 2 Bin 1,GTSLV00.0L2X,standard SUV,10,89,90,89,10,Elite
TESLA Model X AWD,N/A,N/A,Auto-1,4WD,Electricity,FA,B1,Federal Tier 2 Bin 1,GTSLV00.0L2X,standard SUV,10,90,94,92,10,Elite
TESLA Model X AWD,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,GTSLV00.0L2X,standard SUV,10,89,90,89,10,Elite
TESLA Model X AWD,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,GTSLV00.0L2X,standard SUV,10,90,94,92,10,Elite
TOYOTA Avalon Hybrid,2.5,4,SCV-6,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,GTYXV02.5PC4,midsize car,7,40,39,40,9,Yes
TOYOTA Avalon Hybrid,2.5,4,SCV-6,2WD,Gasoline,CA,L3SULEV30/PZEV,California LEV-III SULEV30/PZEV,GTYXV02.5PC4,midsize car,9,40,39,40,9,Yes
TOYOTA Camry,2.5,4,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,GTYXJ02.5BEL,midsize car,6,25,35,28,7,Yes
TOYOTA Camry,2.5,4,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,GTYXV02.5BED,midsize car,6,25,35,28,7,Yes
TOYOTA Camry Hybrid LE,2.5,4,CVT,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,GTYXV02.5PC4,midsize car,7,43,39,41,9,Yes
TOYOTA Camry Hybrid LE,2.5,4,CVT,2WD,Gasoline,CA,L3SULEV30/PZEV,California LEV-III SULEV30/PZEV,GTYXV02.5PC4,midsize car,9,43,39,41,9,Yes
TOYOTA Camry Hybrid XLE/SE,2.5,4,CVT,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,GTYXV02.5PC4,midsize car,7,40,38,40,9,Yes
TOYOTA Camry Hybrid XLE/SE,2.5,4,CVT,2WD,Gasoline,CA,L3SULEV30/PZEV,California LEV-III SULEV30/PZEV,GTYXV02.5PC4,midsize car,9,40,38,40,9,Yes
TOYOTA Corolla,1.8,4,Auto-4,2WD,Gasoline,CA,U2,California LEV-II ULEV,GTYXV01.8BEC,midsize car,6,27,36,31,7,Yes
TOYOTA Corolla,1.8,4,CVT,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,GTYXV01.8BEC,midsize car,5,29,38,32,8,Yes
TOYOTA Corolla,1.8,4,CVT,2WD,Gasoline,CA,U2,California LEV-II ULEV,GTYXV01.8BEC,midsize car,6,29,38,32,8,Yes
TOYOTA Corolla,1.8,4,Man-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,GTYXV01.8BEC,midsize car,6,28,37,31,7,Yes
TOYOTA Corolla,1.8,4,SCV-7,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,GTYXV01.8BEC,midsize car,5,29,37,32,8,Yes
TOYOTA Corolla,1.8,4,SCV-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,GTYXV01.8BEC,midsize car,6,29,37,32,8,Yes
TOYOTA Corolla LE Eco,1.8,4,CVT,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,GTYXV01.8MEA,midsize car,5,30,40,34,8,Yes
TOYOTA Corolla LE Eco,1.8,4,CVT,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,GTYXV01.8MEA,midsize car,5,30,42,35,8,Yes
TOYOTA Corolla LE Eco,1.8,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,GTYXV01.8MEA,midsize car,7,30,40,34,8,Yes
TOYOTA Corolla LE Eco,1.8,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,GTYXV01.8MEA,midsize car,7,30,42,35,8,Yes
TOYOTA Mirai,N/A,N/A,CVT,2WD,Hydrogen,FA,B1,Federal Tier 2 Bin 1,GTYXV00.0DA7,small car,10,67,67,67,10,Elite
TOYOTA Mirai,N/A,N/A,CVT,2WD,Hydrogen,CA,ZEV,California ZEV,GTYXV00.0DA7,small car,10,67,67,67,10,Elite
TOYOTA Prius c,1.5,4,CVT,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,GTYXV01.5CC4,small car,7,53,46,50,10,Yes
TOYOTA Prius c,1.5,4,CVT,2WD,Gasoline,CA,S2,California LEV-II SULEV,GTYXV01.5CC4,small car,8,53,46,50,10,Yes
TOYOTA Prius v,1.8,4,CVT,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,GTYXV01.8PCU,station wagon,7,44,40,42,9,Yes
TOYOTA Prius v,1.8,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,GTYXV01.8PCU,station wagon,8,44,40,42,9,Yes
TOYOTA Yaris,1.5,4,Auto-4,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,GTYXV01.5BEB,small car,5,30,36,32,8,Yes
TOYOTA Yaris,1.5,4,Auto-4,2WD,Gasoline,CA,U2,California LEV-II ULEV,GTYXV01.5BEB,small car,6,30,36,32,8,Yes
TOYOTA Yaris,1.5,4,Man-5,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,GTYXV01.5BEB,small car,5,30,37,33,8,Yes
TOYOTA Yaris,1.5,4,Man-5,2WD,Gasoline,CA,U2,California LEV-II ULEV,GTYXV01.5BEB,small car,6,30,37,33,8,Yes
TOYOTA Yaris,1.5,4,Man-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,GTYXV01.5FEA,small car,5,31,41,35,8,Yes
TOYOTA Yaris,1.5,4,SemiAuto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,GTYXV01.5FEA,small car,5,33,42,37,8,Yes
VOLKSWAGEN Beetle,1.8,4,Man-5,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,GVGAV02.0VPD,small car,7,25,34,28,7,Yes
VOLKSWAGEN Beetle,1.8,4,Man-5,2WD,Gasoline,CA,PZEV,California PZEV,GVGAV02.0VPD,small car,9,25,34,28,7,Yes
VOLKSWAGEN Beetle,1.8,4,SemiAuto-6,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,GVGAV02.0VPD,small car,7,25,34,28,7,Yes
VOLKSWAGEN Beetle,1.8,4,SemiAuto-6,2WD,Gasoline,CA,PZEV,California PZEV,GVGAV02.0VPD,small car,9,25,34,28,7,Yes
VOLKSWAGEN Beetle Convertible,1.8,4,SemiAuto-6,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,GVGAV02.0VPD,small car,7,25,34,28,7,Yes
VOLKSWAGEN Beetle Convertible,1.8,4,SemiAuto-6,2WD,Gasoline,CA,PZEV,California PZEV,GVGAV02.0VPD,small car,9,25,34,28,7,Yes
VOLKSWAGEN GTI,2,4,AMS-6,2WD,Gasoline,FA,B2,Federal Tier 2 Bin 2,GVGAV02.0APA,small car,9,25,33,28,7,Yes
VOLKSWAGEN GTI,2,4,AMS-6,2WD,Gasoline,CA,PZEV,California PZEV,GVGAV02.0APA,small car,9,25,33,28,7,Yes
VOLKSWAGEN GTI,2,4,Man-6,2WD,Gasoline,FA,B2,Federal Tier 2 Bin 2,GVGAV02.0APA,small car,9,25,34,28,7,Yes
VOLKSWAGEN GTI,2,4,Man-6,2WD,Gasoline,CA,PZEV,California PZEV,GVGAV02.0APA,small car,9,25,34,28,7,Yes
VOLKSWAGEN Golf,1.8,4,Man-5,2WD,Gasoline,FA,B2,Federal Tier 2 Bin 2,GVGAV02.0APA,small car,9,25,37,30,7,Yes
VOLKSWAGEN Golf,1.8,4,Man-5,2WD,Gasoline,CA,PZEV,California PZEV,GVGAV02.0APA,small car,9,25,37,30,7,Yes
VOLKSWAGEN Golf,1.8,4,SemiAuto-6,2WD,Gasoline,FA,B2,Federal Tier 2 Bin 2,GVGAV02.0APA,small car,9,25,36,29,7,Yes
VOLKSWAGEN Golf,1.8,4,SemiAuto-6,2WD,Gasoline,CA,PZEV,California PZEV,GVGAV02.0APA,small car,9,25,36,29,7,Yes
VOLKSWAGEN Golf SportWagen,1.8,4,Man-5,2WD,Gasoline,FA,B2,Federal Tier 2 Bin 2,GVGAV02.0APA,station wagon,9,25,36,29,7,Yes
VOLKSWAGEN Golf SportWagen,1.8,4,Man-5,2WD,Gasoline,CA,PZEV,California PZEV,GVGAV02.0APA,station wagon,9,25,36,29,7,Yes
VOLKSWAGEN Golf SportWagen,1.8,4,SemiAuto-6,2WD,Gasoline,FA,B2,Federal Tier 2 Bin 2,GVGAV02.0APA,station wagon,9,25,35,29,7,Yes
VOLKSWAGEN Golf SportWagen,1.8,4,SemiAuto-6,2WD,Gasoline,CA,PZEV,California PZEV,GVGAV02.0APA,station wagon,9,25,35,29,7,Yes
VOLKSWAGEN Jetta,1.4,4,Man-5,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,GVGAV01.4VUP,small car,5,28,40,33,8,Yes
VOLKSWAGEN Jetta,1.4,4,Man-5,2WD,Gasoline,CA,U2,California LEV-II ULEV,GVGAV01.4VUP,small car,6,28,40,33,8,Yes
VOLKSWAGEN Jetta,1.4,4,SemiAuto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,GVGAV01.4VUP,small car,5,28,39,32,8,Yes
